谜面,谜底,猜对,可理解
卅载重逢见白头,芊,0,0
狗头燕窝胡不住,猢,1,0
力可以得天下,夯,1,1
翘首望得倩影来,侥,1,1
心上想着第二名,恶,1,1
提前睡觉,搅,0,1
秋来几处是秋色,,0,1
厂里添丁,喱,0,1
有口才连升两级,团,1,1
忧喜参半,怡,0,0
衣领先,,1,1
冲到前头心不惊,凉,1,1
内人来了一定行,两,0,0
卷尾猴出笼,七,0,0
胡乱拼凑畏人言,胃,0,0
傻子,保,1,1
用心记忆,乙,1,1
十口之间，有我一半。,哉,1,1
评先进，颂先进,讼,1,1
暮鸦飞后声犹在,芽,1,1
女儿要走,西,0,0
人行横道,大,1,1
太阳出来了,旦,0,1
同事中间让为先,诃,1,1
上海没有一点雨,漏,0,0
为了保米粮，两边打上墙，大水到墙根，米粮未损伤。,渊,1,1
溪声潺知客来,西,0,0
涧水终日流,门,1,1
夹生饭,炊,0,1
敝帽半遮鸳鸯影,,0,1
通灵宝玉落人间,矾,0,1
车到厂里来,厍,1,1
闽中自有清江水,虹,1,1
画中内容，不值一提,环,0,0
投身改变昔穷貌,穹,0,1
无心留恋春江水,滦,0,0
五丫头变了一个样,郑,0,0
罗通扫北近半年,舛,0,0
无情情人无情心,倩,1,1
支出一半,岐,1,1
重阳之前来大连,奋,0,0
西南角有流星雨,匝,0,0
相思点点如豆大,,0,0
上元之夜格外圆,殒,0,0
十载耳目共一心,,0,1
含羞相会意中人,茵,0,1
鬼魂山上不平,嵬,1,1
夕阳无限好,醚,0,0
有人承担放宽心,摸,0,1
独眉独眼双泪垂,猸,0,0
雨下山倒,雪,1,1
芍药谢时燕双飞,纵,0,1
两人相逢在异乡,纵,0,1
人行处，前不着村，后不着店,府,1,1
怕火,煨,0,1
两点抵京,凉,1,1
扫除残雪寺前行,持,1,1
去日苦多,章,0,1
鱼文化,,0,1
花草凋零情难了,怩,0,0
角力争先,b,0,0
老头又来见皇上,圣,1,1
云脚低垂两山松,崧,1,1
龙袍,裙,0,1
小舟直下抵苍南,创,0,1
追随者金追,m,1,1
抬头见佛脚,持,0,0
花前独立无人会,芸,0,1
瞧左、相右，见上、看下,目,1,1
然后可以传不朽,灸,0,1
及早自立谱新篇,章,1,1
两只小虫并一起,,0,1
十室九空,丙,0,0
二人骑马，双星伴月。,腾,1,1
首次登船见桅杆,艏,0,0
衣着大方周到,n,0,1
蟾光送远舟,朊,0,1
凝结的金属,锢,0,1
言下之意要出血,谧,0,0
天上日初升，此时正天明,旦,0,1
希望渺茫人未到,欷,0,0
白，西域布衣也,褚,0,1
年届弱冠,异,0,1
上山下山猜不出,岳,0,1
布什倾心于中国,华,0,0
聚雄心、虚心、苦心于一体,华,1,1
酒后不见有变化,酮,0,1
背后离间莫訇言,胸,1,1
少女怀孕,瘿,0,0
鸟雀低飞入低层,鸱,0,0
断肠芳草杳,肪,0,1
一手提前到鲁西,撸,1,1
四方同心通力合作,勰,1,1
个个争瓜葛,,1,1
正月初一元宵节,朊,0,0
掌柜的钱,,0,1
雁阵斜飞入画中,,0,0
招财进宝,赉,1,1
巾帼牺牲、有如玉碎,囿,1,1
损失一半仍有益,,0,1
总计,,38,69
